PoemName,PoemLine,MetaphorCount,MetaphoricTerm,MetaphorType,SourceDomain,TargetDomain,Interpretation,Poet,Year
දශක හතරකට පෙර සිටි පෙම්වතිය,දෑස් පතුලේ සිරවූ,0,,,,,,Somaratne Balasuriya,2010
දශක හතරකට පෙර සිටි පෙම්වතිය,පුංචි පළිඟු කැට දෙකක්,1,පුංචි පළිඟු කැට දෙකක්,Implied,පුංචි පළිඟු කැට දෙකක්,කඳුළු,දෑස් වල සැඟවුණු කඳුළු බිඳු දෙකක්,Somaratne Balasuriya,2010
දශක හතරකට පෙර සිටි පෙම්වතිය,එල්ල වී ඇත මා දෙස,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,මූලික කාරිය දැන් ඉවරයි,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,මේ ළඟ ඉන්නව මගේ මිතුරියක්,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,පෙර පවකට ඈ මැකී ගියත්,1,මැකී ගියත්,Implied,මැකී ගියත්,අතහැර දමා ගියත්,අතහැර දමා ගියත්,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,විදුලි කොටයි සිත තුළ ඉඳහිට,1,විදුලි කොටයි,Implied,විදුලි කොටයි,මතක් වෙයි,හිත පාරවයි,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,දහිරිය දෙයි ඔබ දෙන්නා,0,,,,,,Somaratne Balasuriya,2010
මිතුරගේ වියපත් පියාගේ මරණය,ඈ දැකුමට යාමට,0,,,,,,Somaratne Balasuriya,2010
අමතකය,සතුට සන්තුෂ්ටිය හිස් කබලකි,1,සතුට සන්තුෂ්ටිය හිස් කබලකි,Standard,හිස් කබල,සතුට සන්තුෂ්ටිය,සතුට හා සංතෘෂ්ටිය යනු හිස් වූ දෙයකි,Somaratne Balasuriya,2010
අමතකය,අඳ දැසකි සන්තුෂ්ටිය,1,අඳ දැසකි සන්තුෂ්ටිය,Standard,අඳ දැස,සන්තුෂ්ටිය,සතුට යනු අපව මුලා කරන දෘෂ්ටියකි,Somaratne Balasuriya,2010
අමතකය,දුක පරම ධනයකි,1,දුක පරම ධනයකි,Standard,පරම ධනය,දුක,දුක යනු උතුම්ම සම්පත්තියයි,Somaratne Balasuriya,2010
අමතකය,දුක දකී ලෝකය,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,රියදුරු පැමිණෙයි,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,ඔහු ඇදගෙන යාමට,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,සුක්කානම තෙවරක් පිරිමැද,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,දෑස් එකලස් කොට,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,සිරස නමා වැඳ ,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,යකඩ ගොඩ ගැනේ එළියට,1,යකඩ ගොඩ,Implied,යකඩ ගොඩ,බස් රථය,බස් රථය,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,ජවබල ඇතද,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,ඇගට පතට නොදැනී පැදවේ වාහනය ,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,මහමඟ දුක දන්නෝ,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,බසය එනතුරු,0,,,,,,Somaratne Balasuriya,2010
මැකීයමට කාලයයි,බලා සිටිති දැවුණු මුහුණින්,1,දැවුණු මුහුණින්,Implied,දැවුණු මුහුණින්,විඩාපත් මුවින්,විඩාපත් මුවින්,Somaratne Balasuriya,2010
පියුන් මල්ලී ,අව්වට වැස්සට හසුවී,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,බල්ලන් හඹා හපා කා,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,අඬු බඩු කඩාගත්,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,මග තොට ලියලු,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,අනෙක ප්‍රේම පුෂ්ප,1,ප්‍රේම පුෂ්ප,Dead,ප්‍රේම පුෂ්ප,පෙම්වතියන්,පෙම්වතියන්,Somaratne Balasuriya,2010
පියුන් මල්ලී ,හිතෙන් උදුරා විසිකල,0,,,,,,Somaratne Balasuriya,2010
පියුන් මල්ලී ,නාඹර තරුණයා,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,අහසේ පියාසලමින් බමන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,දෙපා තැබීමට තැනක් සොයන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,පරවියකුය මගේ ගීතය,1,පරවියකුය මගේ ගීතය,Standard,පරවියකුය,මගේ ගීතය,නිදහසේ සිටිමින් සුදුසු තැනක් සොයා යන කෙනෙකුගේ සොභාවයක් පෙනෙයි.,Somaratne Balasuriya,2010
නිදහසේ ගීතය,පිබිදී එන,0,,,,,,Somaratne Balasuriya,2010
නිදහසේ ගීතය,මල් පොහොට්ටුවකි,1,මල් පොහොට්ටුවකි,Standard,මල් පොහොට්ටුව,මගේ ගීතය,නිදහස විඳින්නට පටන් ගන්නා ජීවිත අත්දැකීමක් උකහා දක්වයි.,Somaratne Balasuriya,2010
